"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","271,122,729","±48,318"
"    Male:","133,053,198","±43,413"
"        Worked full-time, year-round in the past 12 months:","68,223,988","±100,199"
"            No earnings","4,955","±987"
"            With earnings:","68,219,033","±100,156"
"                $1 to $2,499 or loss","132,625","±6,532"
"                $2,500 to $4,999","104,933","±6,572"
"                $5,000 to $7,499","457,300","±10,873"
"                $7,500 to $9,999","267,173","±10,595"
"                $10,000 to $12,499","726,444","±16,942"
"                $12,500 to $14,999","296,988","±10,079"
"                $15,000 to $17,499","599,761","±15,641"
"                $17,500 to $19,999","484,048","±13,328"
"                $20,000 to $22,499","1,275,235","±24,429"
"                $22,500 to $24,999","920,470","±21,151"
"                $25,000 to $29,999","2,461,685","±34,394"
"                $30,000 to $34,999","3,965,408","±40,942"
"                $35,000 to $39,999","3,715,248","±39,834"
"                $40,000 to $44,999","4,466,820","±42,812"
"                $45,000 to $49,999","3,459,282","±34,387"
"                $50,000 to $54,999","4,622,964","±35,029"
"                $55,000 to $64,999","6,469,793","±51,319"
"                $65,000 to $74,999","5,489,588","±42,265"
"                $75,000 to $99,999","9,581,616","±60,570"
"                $100,000 or more","18,721,652","±79,991"
"        Other:","64,829,210","±101,227"
"            No earnings","38,663,527","±91,289"
"            With earnings:","26,165,683","±74,242"
"                $1 to $2,499 or loss","3,308,551","±28,463"
"                $2,500 to $4,999","2,243,236","±25,591"
"                $5,000 to $7,499","2,195,369","±25,355"
"                $7,500 to $9,999","1,330,236","±21,170"
"                $10,000 to $12,499","2,114,891","±27,138"
"                $12,500 to $14,999","908,939","±14,839"
"                $15,000 to $17,499","1,420,263","±22,805"
"                $17,500 to $19,999","854,226","±19,386"
"                $20,000 to $22,499","1,467,030","±21,298"
"                $22,500 to $24,999","728,367","±14,699"
"                $25,000 to $29,999","1,443,559","±24,762"
"                $30,000 to $34,999","1,349,223","±22,762"
"                $35,000 to $39,999","859,884","±20,813"
"                $40,000 to $44,999","853,428","±16,181"
"                $45,000 to $49,999","518,373","±13,162"
"                $50,000 to $54,999","687,360","±16,900"
"                $55,000 to $64,999","778,958","±15,841"
"                $65,000 to $74,999","566,391","±13,313"
"                $75,000 to $99,999","901,911","±16,636"
"                $100,000 or more","1,635,488","±21,517"
